elkYear,manualSpStart,manualSpEnd,manualFaStart,manualFaEnd
621_1,04-19,04-29,11-11,11-25
622_1,03-06,03-27,11-21,12-27
624_1,04-04,04-30,11-08,01-24
627_1,06-07,06-25,11-14,11-27
629_1,04-25,05-30,11-24,01-05
62_1,05-10,05-20,10-25,10-30
630_1,03-17,04-12,11-20,11-28
631_1,03-28,05-04,11-19,11-28
632_1,05-07,06-06,11-12,12-10
634_1,06-10,06-13,,
635_1,05-05,05-14,11-17,12-22
637_2,06-07,06-17,11-08,12-24
638_2,05-20,05-28,10-28,11-23
639_2,05-04,06-12,10-24,11-24
640_1,04-20,06-21,11-01,12-02
641_2,04-28,06-12,11-28,12-13
643_1,06-19,06-21,10-04,11-20
645_1,04-28,05-05,12-17,12-22
646_1,04-28,06-15,11-03,11-18
647_1,04-28,05-08,11-14,11-17
648_1,04-28,06-25,11-07,11-18
649_1,05-26,06-05,10-08,11-15
64_1,05-13,06-24,09-26,10-26
650_1,03-19,04-12,12-10,12-14
651_1,04-13,05-23,12-07,12-11
652_1,04-30,05-05,10-25,11-28
653_2,03-11,04-18,11-21,12-09
656_1,05-02,05-23,11-05,12-07
657_3,03-24,05-01,11-09,12-09
658_1,05-03,07-03,11-18,11-29
65_1,05-25,07-01,10-26,12-05
660_1,,,,
661_1,,,,
662_1,,,,
664_1,,,,
665_1,,,,
666_1,,,,
669_1,,,,
66_1,03-21,05-14,10-15,11-09
670_1,03-17,05-30,10-08,12-11
671_1,,,,
672_1,05-04,05-24,11-02,12-06
673_1,04-23,05-31,10-23,11-23
674_1,04-06,05-04,11-24,11-28
675_2,,,,
676_2,,,,
677_2,,,,
678_2,,,,
679_2,,,,
67_1,03-28,07-17,10-27,11-12
680_2,,,,
681_2,,,,
682_2,04-25,05-22,,
683_2,,,,
684_1,,,,
685_2,06-25,06-28,10-27,11-07
686_2,,,,
687_2,,,,
688_2,,,,
689_2,,,,
68_1,04-15,05-16,09-30,12-08
690_1,,,,
691_2,,,,
692_1,,,,
693_2,05-09,06-23,10-19,12-08
695_2,05-07,06-17,10-13,12-14
696_2,05-08,06-15,10-22,12-14
697_2,05-04,05-23,01-25,01-31
698_2,05-01,05-27,10-07,12-16
699_2,04-30,05-31,09-22,11-23
69_1,04-21,05-12,10-26,11-17
6_1,06-29,07-21,10-11,10-28
701_2,04-21,06-03,11-17,11-23
702_3,04-15,05-12,11-05,12-23
704_2,05-01,05-27,11-14,11-25
706_2,05-05,06-14,11-14,11-28
707_2,05-03,06-01,11-13,11-29
708_2,04-21,07-03,11-14,11-27
70_1,04-21,05-31,10-09,12-31
710_3,05-12,05-31,11-08,11-27
711_3,,,,
712_3,04-24,05-28,11-07,11-12
714_3,05-01,05-16,11-06,12-27
715_3,05-09,05-31,09-24,12-22
716_3,05-17,05-24,11-03,11-05
717_3,05-16,06-20,11-04,11-21
718_3,05-12,06-19,10-16,12-31
719_3,05-12,06-02,08-06,11-17
71_1,05-10,06-06,10-24,12-10
720_3,05-08,06-05,11-05,11-08
721_3,05-14,06-22,09-23,11-03
722_3,05-05,05-26,10-04,11-21
723_3,,,,
724_3,04-15,06-04,11-18,01-14
726_3,06-19,07-08,10-14,11-05
727_3,,,,
728_2,,,,
729_3,,,,
72_1,05-03,06-24,10-26,11-13
730_3,,,,
731_3,04-05,06-01,10-01,12-14
732_3,,,,
733_3,07-08,07-11,10-03,10-11
734_1,04-20,05-22,10-10,11-01
736_3,05-06,06-03,10-29,12-08
737_2,,,,
738_3,05-19,06-14,10-24,12-04
739_3,05-17,05-28,10-13,11-09
73_1,05-09,05-15,10-24,01-11
740_3,05-05,06-14,10-24,12-08
741_3,06-14,06-21,01-12,01-17
742_3,05-18,05-24,10-28,11-16
743_1,05-20,05-27,10-10,10-29
744_1,04-26,05-19,10-10,11-18
745_3,04-23,06-24,10-29,12-30
746_3,05-09,06-03,10-30,12-28
747_3,05-18,06-24,10-13,10-20
748_3,05-11,05-28,11-04,12-30
749_2,,,,
74_1,04-30,06-01,08-18,10-30
750_2,06-03,06-22,08-17,02-06
751_3,,,,
752_2,,,,
753_3,,,,
754_3,05-19,06-13,10-29,11-21
755_2,06-09,07-07,10-19,10-24
756_2,,,,
757_1,,,,
758_3,05-04,06-15,10-30,12-28
759_3,05-17,06-03,11-17,12-22
75_2,04-20,04-27,12-16,12-20
761_3,05-18,05-29,10-29,12-28
762_2,06-03,06-22,08-17,02-06
763_3,04-21,04-22,,
764_3,,,,
766_3,,,,
767_3,,,,
768_3,07-05,07-18,10-11,02-20
769_2,05-26,05-28,09-23,01-17
76_2,04-29,05-09,10-19,12-11
772_2,05-05,06-17,10-04,01-31
773_2,04-21,05-05,01-17,01-31
775_1,04-29,05-18,,
777_1,06-14,06-20,10-13,11-02
778_2,05-18,05-19,01-24,02-11
779_2,05-18,06-01,10-21,01-08
77_2,04-15,04-19,10-28,11-26
781_2,06-17,06-21,10-07,10-12
783_2,,,,
785_1,05-04,05-11,,
78_2,04-15,04-19,11-10,11-27
79_1,03-30,06-03,10-13,12-18
7_1,07-07,07-09,10-11,10-14
802_1,05-17,06-19,10-23,11-26
80_2,05-03,05-06,10-19,10-21
81_1,05-22,06-01,10-09,11-06
821_1,06-18,06-22,09-02,11-19
823_1,05-24,06-03,11-04,11-18
824_1,05-23,05-24,10-11,10-15
825_1,04-14,04-28,11-05,11-18
828_1,05-19,05-22,10-25,11-01
829_2,05-31,06-17,09-28,10-03
82_1,04-03,05-23,10-16,10-29
830_2,06-12,06-14,10-13,10-17
83_1,04-23,07-17,10-16,11-01
840_1,04-11,05-03,11-07,12-25
841_1,03-26,05-04,12-04,12-17
842_1,03-25,04-24,12-03,12-19
843_1,03-29,04-11,11-12,12-31
844_2,03-20,04-08,12-07,01-09
845_2,04-19,05-12,01-07,01-18
847_2,04-24,04-30,09-28,10-08
848_2,04-16,05-23,11-29,12-16
849_2,04-10,05-03,11-08,12-03
851_2,04-09,05-17,12-05,12-22
852_2,05-18,05-28,10-09,12-12
854_1,05-25,06-02,11-13,12-03
855_1,05-19,05-26,10-22,11-16
858_2,,,,
863_2,05-08,06-05,10-21,12-13
864_2,05-09,05-28,10-19,12-08
865_2,05-07,06-17,10-13,12-14
866_2,05-19,06-06,,
867_2,,,,
868_2,05-09,06-01,10-26,11-19
86_2,04-16,04-19,10-25,11-30
870_4,,,,
872_2,04-05,05-16,11-12,11-18
876_2,,,,
877_2,05-11,05-12,10-14,11-18
878_2,,,,
87_2,03-24,04-18,11-26,11-28
880_2,04-24,06-12,11-04,11-19
886_4,05-17,05-23,10-30,11-23
888_3,05-04,05-10,10-16,12-04
893_2,,,,
895_2,04-22,05-14,11-08,12-11
89_2,04-15,04-21,09-27,11-26
8_1,07-08,07-23,,
900_2,04-29,06-02,11-13,12-04
90_2,05-07,06-10,10-16,11-29
91_1,,,,
921_2,03-29,05-18,12-08,12-19
922_2,03-19,05-15,12-09,12-18
923_2,01-16,02-21,03-25,04-26
924_2,03-23,04-24,11-10,12-19
925_1,04-02,05-27,10-08,11-13
926_1,05-02,05-07,01-15,01-19
927_2,03-22,04-26,11-12,11-14
928_2,04-03,04-20,,
929_1,04-24,05-04,01-23,03-02
92_1,04-07,05-20,10-16,12-18
930_2,04-03,06-08,12-16,12-22
931_2,03-26,04-22,10-30,12-04
932_1,04-24,05-12,11-10,12-29
933_2,03-20,05-16,10-25,12-20
934_1,04-24,05-03,,
935_1,05-09,05-29,11-06,12-09
936_1,04-14,05-16,11-22,12-30
937_1,04-06,05-13,12-04,12-29
93_2,03-18,04-15,11-21,11-27
948_1,04-03,05-16,10-17,12-05
94_2,,,,
95_2,04-21,04-25,,
96_2,,,,
97_1,04-23,04-28,12-17,12-21
9_1,05-30,06-19,10-23,11-06
