switchID,period,year,propDev
534_1-2,springMig,2009,0
535_1-2,springMig,2009,0
539_1-2,springMig,2009,0
540_1-2,springMig,2009,0
542_1-2,springMig,2009,0
544_1-2,springMig,2009,0
547_1-2,springMig,2009,9.33863767953531e-06
548_1-2,springMig,2009,1.98599870910084e-05
549_1-2,springMig,2009,8.26377985290472e-05
550_1-2,springMig,2009,0
553_1-2,springMig,2009,2.26793368561903e-05
555_1-2,springMig,2009,1.82297126085807e-05
556_1-2,springMig,2009,0.000139207907009118
558_1-2,springMig,2009,8.9142449634516e-05
560_1-2,springMig,2009,0
561_1-2,springMig,2009,0
562_1-2,springMig,2009,0
564_1-2,springMig,2009,0
565_1-2,springMig,2009,9.74797729471135e-05
653_1-2,springMig,2009,0.00212130735386549
727_2-3,winter2,2009,0.00385351793354669
730_2-3,winter2,2009,0.00528556746439583
733_2-3,winter2,2009,0.0105464913368107
736_2-3,winter2,2009,0.00860068938088294
737_2-3,winter2,2009,0.00315749589525534
739_2-3,winter2,2009,0.00182758024050523
740_2-3,winter2,2009,0.00812157089228992
741_2-3,winter2,2009,0.00339048106448311
747_2-3,winter2,2009,0.00634594594594595
750_2-3,winter2,2009,0.00193929173693086
751_2-3,winter2,2009,0.00559882629614447
752_2-3,winter2,2009,0.00613978262434319
756_2-3,winter2,2009,0.00413600235501913
758_2-3,winter2,2009,0.00605892080961232
761_2-3,winter2,2009,0.00134722006321571
763_2-3,winter2,2009,0.00652501648921135
766_2-3,winter2,2009,0.00499720744289956
767_2-3,winter2,2009,0.0123635174002535
768_2-3,winter2,2009,0.0110955480486666
769_1-2,winter2,2009,0.00187032418952618
772_1-2,winter2,2009,0.00751200599198132
773_1-2,winter2,2009,0.00900856308469039
778_1-2,winter2,2009,0.00726485045405315
779_1-2,winter2,2009,0.000530426733507369
781_1-2,winter2,2009,0.00775727475013216
783_1-2,winter2,2009,0.00401372599679048
211_1-2,winter2,2010,0
212_1-2,winter2,2010,0
215_1-2,winter2,2010,5.56132285332938e-05
217_1-2,winter2,2010,0
218_1-2,winter2,2010,0
308_3-4,winter2,2010,0.0165175729554059
312_3-4,winter2,2010,0.0409663394738022
313_3-4,winter2,2010,0.0172916224405118
314_3-4,winter2,2010,0.00456915937036505
318_3-4,winter2,2010,0.0567285751422547
322_3-4,winter2,2010,0.0585597219939421
323_3-4,winter2,2010,0.0114178438432893
325_3-4,winter2,2010,0.00910217598894736
326_3-4,winter2,2010,0.0184773798444958
328_3-4,winter2,2010,0.0155174920050392
332_3-4,winter2,2010,0.0645662349656808
333_3-4,winter2,2010,0.00796858983037735
334_3-4,winter2,2010,0.0182020677008921
335_2-3,winter2,2010,0.014406223165126
343_1-2,springMig,2010,0.000699994776158387
346_1-2,springMig,2010,0.000312037878685099
347_1-2,springMig,2010,0
348_1-2,springMig,2010,0.000163236605180879
349_1-2,springMig,2010,0
350_1-2,springMig,2010,0
351_1-2,springMig,2010,0
352_1-2,springMig,2010,0
353_1-2,springMig,2010,0
355_1-2,springMig,2010,0.000538004005140927
356_1-2,springMig,2010,0.00027228042017168
451_1-2,winter2,2010,0.021240836760236
452_1-2,winter2,2010,0.0163371553390605
453_1-2,winter2,2010,0.0114360796145798
454_1-2,winter2,2010,0.0250782516875966
454_2-3,springMig,2010,0.0718931593434601
455_1-2,winter2,2010,0.00882203708856409
456_1-2,winter2,2010,0.0947675693454665
457_1-2,winter2,2010,0.00852207903012987
460_2-3,springMig,2010,0.0374384702764105
465_1-2,springMig,2010,0.00923479426388731
466_1-2,springMig,2010,0.0169446270128163
468_1-2,springMig,2010,0.0243578681887569
470_3-4,winter2,2010,0.0684267159722959
470_4-5,springMig,2010,0.140774135900248
531_1-2,winter2,2010,0.00101122997498536
532_1-2,winter2,2010,0.000124035281146637
533_1-2,winter2,2010,3.2274722437387e-05
534_1-2,winter2,2010,0.000169047417800693
535_1-2,winter2,2010,0.000145666423889294
539_1-2,winter2,2010,0
540_1-2,winter2,2010,0
542_1-2,winter2,2010,0.000128014337605812
544_1-2,winter2,2010,0.000126196898711214
547_1-2,winter2,2010,9.84067940050581e-06
548_1-2,winter2,2010,2.06032635569474e-05
549_1-2,winter2,2010,2.09060690318399e-05
550_1-2,winter2,2010,0.000173780528560161
553_1-2,winter2,2010,4.59546152220068e-05
555_1-2,winter2,2010,0
556_1-2,winter2,2010,2.92765758116931e-05
558_1-2,winter2,2010,0
560_1-2,winter2,2010,0.000135943447525829
561_1-2,winter2,2010,0.000113558937088349
562_1-2,winter2,2010,0.000136131593874078
564_1-2,winter2,2010,0.000473477842716579
565_1-2,winter2,2010,8.77518647271255e-05
653_1-2,winter2,2010,0.000894654439722657
675_1-2,springMig,2010,0.000190095998479232
676_1-2,springMig,2010,9.66276934969562e-05
677_1-2,springMig,2010,0
678_1-2,springMig,2010,0
679_1-2,springMig,2010,0
680_1-2,springMig,2010,5.472555135993e-05
681_1-2,springMig,2010,0
682_1-2,springMig,2010,0
683_1-2,springMig,2010,0
685_1-2,springMig,2010,0
686_1-2,springMig,2010,0
687_1-2,springMig,2010,0
688_1-2,springMig,2010,0
689_1-2,springMig,2010,0
691_1-2,springMig,2010,0
692_1-2,springMig,2010,0
870_2-3,springMig,2010,0.0672420788609789
876_2-3,springMig,2010,0.0423715246277816
1463_1-2,springMig,2011,0.000390249913990973
1468_1-2,springMig,2011,0
1472_1-2,springMig,2011,2.1948114656951e-05
1474_1-2,springMig,2011,0
1476_1-2,springMig,2011,0.000389631090199597
1482_1-2,springMig,2011,0.000389842584253048
343_1-2,winter2,2011,0.00254388535201513
346_1-2,winter2,2011,0
347_1-2,winter2,2011,0.000905732118516393
348_1-2,winter2,2011,0.0233958200773335
348_2-3,springMig,2011,0.000645029340968803
349_1-2,winter2,2011,0
350_1-2,winter2,2011,0.0200885732524737
351_1-2,winter2,2011,9.90491283676704e-05
352_1-2,winter2,2011,0
353_1-2,winter2,2011,9.94975374359485e-05
355_1-2,winter2,2011,0.00143870105847292
356_1-2,winter2,2011,0.00147848166361328
454_2-3,winter2,2011,0.0415737610587643
454_3-4,springMig,2011,0.173409171702808
460_2-3,winter2,2011,0.0256686798964625
465_1-2,winter2,2011,0.0264786424305151
466_1-2,winter2,2011,0.0386858121651664
468_1-2,winter2,2011,0.0542339132257388
468_2-3,springMig,2011,0.0140622309777495
470_4-5,winter2,2011,0.0191826730692277
470_5-6,springMig,2011,0.169020853915783
478_1-2,springMig,2011,0.017915618213781
479_1-2,springMig,2011,0.177246298627345
675_1-2,winter2,2011,0.000431648465489705
676_1-2,winter2,2011,0.0010658140154543
677_1-2,winter2,2011,0.000189825360668185
678_1-2,winter2,2011,0
679_1-2,winter2,2011,0.000905182167911292
680_1-2,winter2,2011,0.000610873549175321
681_1-2,winter2,2011,0.00157666535277887
682_1-2,winter2,2011,0.00179073931951906
683_1-2,winter2,2011,0.000162522346822688
685_1-2,winter2,2011,0.000237812128418549
686_1-2,winter2,2011,0.000237088552574387
687_1-2,winter2,2011,0
688_1-2,winter2,2011,0.00022155264090748
689_1-2,winter2,2011,5.57103064066852e-05
691_1-2,winter2,2011,4.54235748353395e-05
692_1-2,winter2,2011,0.000170087311486563
870_2-3,winter2,2011,0.0422555266811434
870_3-4,springMig,2011,0.17158158768897
876_2-3,winter2,2011,0.0251040638544393
878_2-3,springMig,2011,0.169669749009247
886_2-3,springMig,2011,0.0144735407627063
921_1-2,springMig,2011,0.0005200758076601
922_1-2,springMig,2011,0.00153081855467622
923_1-2,springMig,2011,0
924_1-2,springMig,2011,0.000318460313614178
925_1-2,springMig,2011,0.000455420808827356
926_1-2,springMig,2011,0.00037433063396179
927_1-2,springMig,2011,0.000932997672416333
927_1-2,winter2,2011,0.00318199282263404
928_1-2,springMig,2011,0.00248096765467403
930_1-2,springMig,2011,0.000180327097674564
931_1-2,springMig,2011,0.00181837629693015
932_1-2,springMig,2011,0.000518077774463476
933_1-2,springMig,2011,0.0015683266003729
936_1-2,springMig,2011,0.000784774064206389
937_1-2,springMig,2011,0.00171994617113712
140_1-2,springMig,2012,0.00708970321763454
1463_1-2,winter2,2012,0.000214119277032559
1463_2-3,springMig,2012,0.000755726078362981
1467_1-2,springMig,2012,0.00439392838986128
1468_1-2,winter2,2012,1.5331427125894e-05
1468_2-3,springMig,2012,0
1472_1-2,winter2,2012,8.25709284275192e-06
1472_2-3,springMig,2012,1.55197566502157e-05
1474_1-2,winter2,2012,7.36019313146777e-06
1474_2-3,springMig,2012,0
1476_1-2,winter2,2012,4.08992379108669e-05
1476_2-3,springMig,2012,0.000222087228024795
1482_1-2,winter2,2012,0
1537_1-2,springMig,2012,4.3645251396648e-05
1549_1-2,springMig,2012,0.000295804349278142
348_2-3,winter2,2012,6.85682940208448e-06
348_3-4,springMig,2012,0
388_1-2,springMig,2012,0.000127950866867123
389_1-2,springMig,2012,0.000153972490248409
454_3-4,winter2,2012,0.0846469104665826
468_2-3,winter2,2012,0.0474150242787775
468_3-4,springMig,2012,0.0337333248228761
470_5-6,winter2,2012,0.0264233305470419
478_1-2,winter2,2012,0.0188262462975049
478_2-3,springMig,2012,0.0123416081774931
479_1-2,winter2,2012,0.0311214451797532
573_1-2,springMig,2012,0
575_1-2,springMig,2012,7.72797527047914e-05
578_1-2,springMig,2012,0
581_1-2,springMig,2012,0
582_1-2,springMig,2012,0.000114064104026463
583_1-2,springMig,2012,0
586_1-2,springMig,2012,1.88657887786288e-05
588_1-2,springMig,2012,1.95901735689378e-05
591_1-2,springMig,2012,0
592_1-2,springMig,2012,3.62772305962163e-05
593_1-2,springMig,2012,0.000335650923040038
594_1-2,springMig,2012,0.000243138488822781
596_1-2,springMig,2012,0
597_1-2,springMig,2012,0
598_1-2,springMig,2012,4.56753094502215e-05
599_1-2,springMig,2012,0.000247067885534902
602_1-2,springMig,2012,6.78456737075399e-05
604_1-2,springMig,2012,0.000204960032793605
605_1-2,springMig,2012,5.99628230497092e-05
606_1-2,springMig,2012,0.000529783781993974
607_1-2,springMig,2012,0.000312804115111914
697_1-2,springMig,2012,0.00622652043491015
698_1-2,springMig,2012,0.00708970321763454
844_1-2,springMig,2012,6.96702606094299e-05
845_1-2,springMig,2012,4.98364740694596e-05
847_1-2,springMig,2012,0.00505927841241124
870_3-4,winter2,2012,0.084641638225256
878_2-3,winter2,2012,0.0321783808708254
886_2-3,winter2,2012,0.047740197545645
886_3-4,springMig,2012,0.0307834514439371
888_2-3,springMig,2012,0.012387551076441
921_1-2,winter2,2012,0.00187157510186876
922_1-2,winter2,2012,0.00145424502553359
923_1-2,winter2,2012,0.00351832460732984
924_1-2,winter2,2012,0.00170201991785292
925_1-2,winter2,2012,0.00103170317803147
926_1-2,winter2,2012,0.00107368138504899
928_1-2,winter2,2012,0.00035812343320998
930_1-2,winter2,2012,0.00126589086035073
931_1-2,winter2,2012,0.00547894733251001
932_1-2,winter2,2012,0.00164395680005898
933_1-2,winter2,2012,0.00184535523801375
936_1-2,winter2,2012,0.00466770844507325
937_1-2,winter2,2012,0.00310668877833057
140_1-2,winter2,2013,0.0125476853283844
1463_2-3,winter2,2013,2.87414135027161e-05
1463_3-4,springMig,2013,0
1467_1-2,winter2,2013,0.00807424891328727
1467_2-3,springMig,2013,0.00120599984925002
1468_2-3,winter2,2013,1.65866361472562e-05
1468_3-4,springMig,2013,0
1472_2-3,winter2,2013,2.11499212165435e-05
1472_3-4,springMig,2013,2.21754074731123e-05
1474_2-3,winter2,2013,2.36347020451896e-05
1474_3-4,springMig,2013,2.92543076968084e-05
1476_2-3,winter2,2013,1.47228786172272e-05
1476_3-4,springMig,2013,0.000556539911862251
1537_1-2,winter2,2013,0.000290432877001677
1537_2-3,springMig,2013,2.52742253449932e-05
1539_2-3,springMig,2013,1.9440250390425e-05
1549_1-2,winter2,2013,0.000163529151476091
1549_2-3,springMig,2013,0.000477548917346336
348_3-4,winter2,2013,0
388_1-2,winter2,2013,0.000244498777506112
389_1-2,winter2,2013,0
397_1-2,springMig,2013,3.11003296634944e-05
402_1-2,springMig,2013,0
468_3-4,winter2,2013,0.0754260360996269
468_4-5,springMig,2013,0.0235123839639147
478_2-3,winter2,2013,0.0239863819251006
573_1-2,winter2,2013,0.000278872846657962
575_1-2,winter2,2013,9.87274037654632e-05
578_1-2,winter2,2013,0.000233285615821006
581_1-2,winter2,2013,7.44989942635774e-05
582_1-2,winter2,2013,5.86324565826659e-05
583_1-2,winter2,2013,0.000775636838667538
586_1-2,winter2,2013,7.5654410652141e-05
588_1-2,winter2,2013,4.64128656463572e-05
591_1-2,winter2,2013,5.86106348997026e-05
592_1-2,winter2,2013,0.000156103652825476
593_1-2,winter2,2013,0.000105744573981548
594_1-2,winter2,2013,0
596_1-2,winter2,2013,0.000371957629174416
597_1-2,winter2,2013,0.000154076082769672
598_1-2,winter2,2013,0.000508627835129229
599_1-2,winter2,2013,6.99471898716469e-05
602_1-2,winter2,2013,0.000121916527817288
604_1-2,winter2,2013,4.70123642517982e-05
605_1-2,winter2,2013,0.00104571153698682
606_1-2,winter2,2013,7.40041812362399e-05
607_1-2,winter2,2013,4.22596219876813e-05
657_1-2,springMig,2013,0.0325261857126044
697_1-2,winter2,2013,0.0150411604492456
698_1-2,winter2,2013,0.0152322650342096
844_1-2,winter2,2013,6.75302351280005e-05
845_1-2,winter2,2013,1.0848045995715e-05
847_1-2,winter2,2013,0.0117087675306079
848_1-2,springMig,2013,0.000246954002735917
849_1-2,springMig,2013,3.05442105630607e-05
851_1-2,springMig,2013,0.00013846579894766
886_3-4,winter2,2013,0.0803834808259587
888_2-3,winter2,2013,0.0231313153844438
1165_1-2,springMig,2014,0.000344042767162441
1166_1-2,springMig,2014,0.000270192376972404
1167_1-2,springMig,2014,0.000124962901638576
1170_1-2,springMig,2014,9.369875849145e-05
1173_1-2,springMig,2014,0.00046999229734846
1174_1-2,springMig,2014,0.000217385397135947
1176_1-2,springMig,2014,0.000581065563564422
1178_1-2,springMig,2014,0.00124605583134031
118_1-2,springMig,2014,4.59632753430009e-05
1181_1-2,springMig,2014,0.0147948077078126
119_1-2,springMig,2014,0
1233_1-2,springMig,2014,0.00337982577236159
1234_1-2,springMig,2014,0.00237855639923154
1234_1-2,winter2,2014,0.00307384373436271
1235_1-2,springMig,2014,0.000110668437361664
1236_1-2,springMig,2014,0.00228352774177621
1239_1-2,springMig,2014,0
1240_1-2,springMig,2014,0.00363782100687487
1245_1-2,springMig,2014,7.58782912208817e-05
1246_1-2,springMig,2014,0.0019720014838823
1248_1-2,springMig,2014,0.00494641384995878
1249_1-2,springMig,2014,0.000407030527289547
1250_1-2,springMig,2014,0.00354609929078014
1252_1-2,springMig,2014,0.00561337855221612
1253_1-2,springMig,2014,5.28289925511121e-05
134_1-2,springMig,2014,0
134_1-2,winter2,2014,0.001874139137896
135_1-2,springMig,2014,0
135_1-2,winter2,2014,0.00128992510733332
1463_3-4,winter2,2014,0.000160372622301556
1463_4-5,springMig,2014,0.000135772716472625
1467_2-3,winter2,2014,0.0124201334204023
1467_3-4,springMig,2014,0.0135098452736422
1468_3-4,winter2,2014,0.000160656088865768
1472_3-4,winter2,2014,6.43856960737603e-05
1472_4-5,springMig,2014,5.86900383441584e-05
1474_3-4,winter2,2014,3.28525904267552e-05
1474_4-5,springMig,2014,0
1476_3-4,winter2,2014,9.98060020834503e-05
1476_4-5,springMig,2014,0.000283734380967971
1530_3-4,springMig,2014,9.78712992414974e-05
1537_2-3,winter2,2014,0.000154982693599215
1537_3-4,springMig,2014,0.000262789067974772
1539_2-3,winter2,2014,0.000206222288879932
1539_3-4,springMig,2014,5.21193010801725e-05
1549_2-3,winter2,2014,0.000160526527008588
1549_3-4,springMig,2014,0.000380372765310004
1560_1-2,springMig,2014,0.00171555649687599
1563_1-2,springMig,2014,0.021274547554871
1565_1-2,springMig,2014,4.65766185374942e-05
1566_1-2,springMig,2014,8.69439211708448e-05
1568_1-2,springMig,2014,0.00193204660330595
172_1-2,springMig,2014,7.45230524642289e-05
173_1-2,springMig,2014,0
174_1-2,springMig,2014,0
184_1-2,springMig,2014,0.0227471566054243
186_1-2,springMig,2014,0.0108462605624921
187_1-2,springMig,2014,0.028925973470261
188_1-2,springMig,2014,0.0154406484046373
223_1-2,springMig,2014,2.99230976390676e-05
224_1-2,springMig,2014,0.000138026224982747
265_1-2,springMig,2014,0.00095687675427405
266_1-2,springMig,2014,0.0053798403783624
278_1-2,springMig,2014,0.000537056928034372
279_1-2,springMig,2014,0.000199660577019068
280_1-2,springMig,2014,0.000323519896473633
397_1-2,winter2,2014,0
402_1-2,winter2,2014,0.00020772746157042
468_4-5,winter2,2014,0.0680975911056208
637_1-2,springMig,2014,0
638_1-2,springMig,2014,0
639_1-2,springMig,2014,0.000145045254119285
657_1-2,winter2,2014,0.000198787396879038
657_2-3,springMig,2014,0.000315115016981198
658_1-2,springMig,2014,0.000116822429906542
701_2-3,springMig,2014,0.00790659146330113
702_2-3,springMig,2014,0.00813831609925218
707_2-3,springMig,2014,0.0084009610699464
848_1-2,winter2,2014,0.000290797405695055
849_1-2,winter2,2014,0.000239912671787469
851_1-2,winter2,2014,0.000446489235726904
1165_1-2,winter2,2015,0.000887441085275513
1166_1-2,winter2,2015,0.000558884563608353
1166_2-3,springMig,2015,0.000369151584187656
1167_1-2,winter2,2015,0.000444205456713347
1167_2-3,springMig,2015,0.000223347230494342
1170_1-2,winter2,2015,0.000460585157375522
1173_1-2,winter2,2015,0.000404896870385367
1173_2-3,springMig,2015,0.00131697830048544
1174_1-2,winter2,2015,0.0188994226027292
1176_1-2,winter2,2015,0.00406482092085491
1176_2-3,springMig,2015,0.000150031077866129
1178_1-2,winter2,2015,0.000777753981762233
1178_2-3,springMig,2015,0.000223651104277327
118_1-2,winter2,2015,0.00109155410015009
1181_1-2,winter2,2015,0.00679769469484262
1181_2-3,springMig,2015,0.0165588905917093
119_1-2,winter2,2015,0.00031402103940964
122_1-2,springMig,2015,0
123_1-2,springMig,2015,1.01591945790538e-05
1233_1-2,winter2,2015,0.00277398168356212
1233_2-3,springMig,2015,0
1235_1-2,winter2,2015,0.000309684269513796
1236_1-2,winter2,2015,0.00492996322090931
1239_1-2,winter2,2015,0.00109725239044271
1240_1-2,winter2,2015,0.00384517335146159
1240_2-3,springMig,2015,0
1245_1-2,winter2,2015,0.0032635481650867
1246_1-2,winter2,2015,0.00554761452575393
1248_1-2,winter2,2015,0.00453896624261244
1248_2-3,springMig,2015,0.000474824005450154
1249_1-2,winter2,2015,0.00289565761042437
1249_2-3,springMig,2015,0.00103374885983582
1250_1-2,winter2,2015,0.00379342850977319
1252_1-2,winter2,2015,0.00264923601934648
1252_2-3,springMig,2015,5.8482952219428e-05
1253_1-2,winter2,2015,0.00106633181854421
137_1-2,springMig,2015,0
137_1-2,winter2,2015,0.00195437795581017
139_1-2,springMig,2015,5.16876001447253e-05
1463_4-5,winter2,2015,8.41427060294259e-05
1467_3-4,winter2,2015,0.00935837729269208
1472_4-5,winter2,2015,9.40501522436839e-05
1474_4-5,winter2,2015,2.24133164984423e-05
1476_4-5,winter2,2015,0.000117288294628196
1483_1-2,springMig,2015,0.00301258195995038
1483_1-2,winter2,2015,0.0171689497716895
1485_1-2,springMig,2015,0
1487_1-2,springMig,2015,0
1487_1-2,winter2,2015,0.0181459469992206
1492_1-2,springMig,2015,0.00103914097679252
1492_1-2,winter2,2015,0.0197241444240456
1493_1-2,springMig,2015,0.00385802469135802
1493_1-2,winter2,2015,0.0221770192498512
1496_1-2,springMig,2015,0.00509187513836617
1496_1-2,winter2,2015,0.0351765489673551
