switchID,period,year,propCrop
1149_1-2,winter2,2019,0.72689203131638
1151_1-2,winter2,2019,0.561774692684604
1152_1-2,winter2,2019,0.0754503982061393
1153_1-2,winter2,2019,0.769935615240116
1154_1-2,winter2,2019,0.772375193643496
1157_1-2,winter2,2019,0.667654813279641
1159_1-2,winter2,2019,0.706043458122722
1160_1-2,winter2,2019,0.585813443740867
1161_1-2,winter2,2019,0.777471061019689
1162_1-2,winter2,2019,0.825983694919822
1163_1-2,winter2,2019,0.075609756097561
1164_1-2,winter2,2019,0.762666519568635
1169_3-4,winter2,2017,0.000448185297729493
1233_4-5,winter2,2018,0.0713770052222504
1240_4-5,winter2,2018,0.0662646093307242
1358_1-2,winter2,2018,0.0857559172649087
1359_1-2,winter2,2018,0.0308243572862478
1368_1-2,winter2,2018,0.0332439114197044
1379_1-2,winter2,2018,0.0509155345540461
14_1-2,winter2,2020,2.9542970250229e-05
1406_1-2,winter2,2017,0.00108114724001469
1409_1-2,winter2,2017,0.0210437235543018
1485_2-3,winter2,2017,0.115276913503423
1487_2-3,winter2,2017,0.12610262639135
1487_3-4,winter2,2018,0.166163628315023
1492_2-3,winter2,2017,0.140623661440932
1492_3-4,winter2,2018,0.147713342762848
1493_2-3,winter2,2017,0.154238571599378
1493_3-4,winter2,2018,0.147843681203314
1496_2-3,winter2,2017,0.163433835166173
1496_3-4,winter2,2018,0.166555789629301
1497_2-3,winter2,2017,0.184122462525582
1498_2-3,winter2,2017,0.14988358556461
1498_3-4,winter2,2018,0.116099887637873
1501_2-3,winter2,2017,0.131793942708689
1501_3-4,winter2,2018,0.159719113697404
1502_2-3,winter2,2017,0.147730643725897
1502_3-4,winter2,2018,0.181413763957471
1503_2-3,winter2,2017,0.180587453160885
1503_3-4,winter2,2018,0.138938697019308
1504_2-3,winter2,2017,0.101853165706502
1558_1-2,winter2,2018,0.0325055596738325
1558_2-3,winter2,2019,0
16_1-2,winter2,2020,0.0526446339562023
1605_1-2,winter2,2017,0.0456365478315404
1609_2-3,winter2,2018,0.0276478959138036
1674_1-2,winter2,2019,0.00032383613891371
1691_1-2,winter2,2019,0.00029694941580913
17_1-2,winter2,2020,2.16863289382373e-05
1713_1-2,winter2,2019,0.000910553111167236
1718_1-2,winter2,2019,0.000915253711431364
1720_1-2,winter2,2019,0.000226633650900239
1721_1-2,winter2,2019,0.00027491862408727
1771_1-2,winter2,2018,0.00674585716380701
1771_2-3,winter2,2019,0.0107722439843313
