id,p,numFeedgrounds,feedAccess
1776_1-2,winter1,1,1
1776_1-2,winter2,0,0
1777_1-2,winter1,2,1
1777_1-2,winter2,2,1
1778_1-2,winter1,0,0
1778_1-2,winter2,0,0
184_1-2,winter1,0,0
184_1-2,winter2,0,0
186_1-2,winter1,0,0
186_1-2,winter2,0,0
187_1-2,winter1,0,0
187_1-2,winter2,0,0
188_1-2,winter1,0,0
188_1-2,winter2,0,0
19_1-2,winter1,0,0
19_1-2,winter2,0,0
190_1-2,winter1,0,0
190_1-2,winter2,0,0
20_1-2,winter1,0,0
20_1-2,winter2,9,1
21_1-2,winter1,0,0
21_1-2,winter2,0,0
210_1-2,winter1,1,1
210_1-2,winter2,1,1
211_1-2,winter1,1,1
211_1-2,winter2,1,1
212_1-2,winter1,1,1
212_1-2,winter2,1,1
215_1-2,winter1,1,1
215_1-2,winter2,1,1
217_1-2,winter1,1,1
217_1-2,winter2,1,1
218_1-2,winter1,1,1
218_1-2,winter2,1,1
22_1-2,winter1,0,0
22_1-2,winter2,0,0
223_1-2,winter1,0,0
223_1-2,winter2,1,1
224_1-2,winter1,1,1
224_1-2,winter2,1,1
227_1-2,winter1,1,1
227_1-2,winter2,1,1
24_1-2,winter1,0,0
24_1-2,winter2,0,0
26_1-2,winter1,0,0
26_1-2,winter2,0,0
265_1-2,winter1,1,1
265_1-2,winter2,1,1
266_1-2,winter1,1,1
266_1-2,winter2,1,1
266_2-3,winter1,1,1
266_2-3,winter2,1,1
27_1-2,winter1,0,0
27_1-2,winter2,0,0
278_1-2,winter1,0,0
278_1-2,winter2,1,1
279_1-2,winter1,2,1
279_1-2,winter2,0,0
280_1-2,winter1,0,0
280_1-2,winter2,0,0
283_1-2,winter1,0,0
283_1-2,winter2,1,1
284_1-2,winter1,1,1
284_1-2,winter2,1,1
3_1-2,winter1,0,0
3_1-2,winter2,0,0
305_2-3,winter1,8,1
305_2-3,winter2,7,1
308_2-3,winter1,9,1
308_2-3,winter2,7,1
308_3-4,winter1,6,1
308_3-4,winter2,9,1
311_2-3,winter1,9,1
311_2-3,winter2,9,1
312_2-3,winter1,9,1
312_2-3,winter2,7,1
312_3-4,winter1,8,1
312_3-4,winter2,8,1
313_2-3,winter1,9,1
313_2-3,winter2,8,1
313_3-4,winter1,8,1
313_3-4,winter2,7,1
314_2-3,winter1,8,1
314_2-3,winter2,8,1
314_3-4,winter1,8,1
314_3-4,winter2,8,1
318_2-3,winter1,5,1
318_2-3,winter2,7,1
318_3-4,winter1,7,1
318_3-4,winter2,8,1
319_2-3,winter1,9,1
319_2-3,winter2,9,1
32_1-2,winter1,0,0
32_1-2,winter2,0,0
321_2-3,winter1,9,1
321_2-3,winter2,7,1
322_2-3,winter1,9,1
322_2-3,winter2,7,1
322_3-4,winter1,8,1
322_3-4,winter2,9,1
323_2-3,winter1,8,1
323_2-3,winter2,7,1
323_3-4,winter1,6,1
323_3-4,winter2,8,1
325_2-3,winter1,9,1
325_2-3,winter2,8,1
325_3-4,winter1,8,1
325_3-4,winter2,9,1
326_2-3,winter1,7,1
326_2-3,winter2,8,1
326_3-4,winter1,8,1
326_3-4,winter2,8,1
328_2-3,winter1,9,1
328_2-3,winter2,9,1
328_3-4,winter1,8,1
328_3-4,winter2,8,1
33_1-2,winter1,0,0
33_1-2,winter2,0,0
331_2-3,winter1,9,1
331_2-3,winter2,9,1
332_2-3,winter1,9,1
332_2-3,winter2,9,1
332_3-4,winter1,9,1
332_3-4,winter2,7,1
333_2-3,winter1,9,1
333_2-3,winter2,7,1
333_3-4,winter1,6,1
333_3-4,winter2,9,1
334_2-3,winter1,8,1
334_2-3,winter2,9,1
334_3-4,winter1,8,1
334_3-4,winter2,8,1
335_2-3,winter1,8,1
335_2-3,winter2,8,1
34_1-2,winter1,0,0
34_1-2,winter2,0,0
343_1-2,winter1,0,0
343_1-2,winter2,0,0
346_1-2,winter1,0,0
346_1-2,winter2,0,0
347_1-2,winter1,0,0
347_1-2,winter2,0,0
348_1-2,winter1,0,0
348_1-2,winter2,0,0
348_2-3,winter1,0,0
348_2-3,winter2,0,0
348_3-4,winter1,0,0
348_3-4,winter2,0,0
349_1-2,winter1,1,1
349_1-2,winter2,0,0
350_1-2,winter1,0,0
350_1-2,winter2,0,0
351_1-2,winter1,1,1
351_1-2,winter2,0,0
352_1-2,winter1,0,0
352_1-2,winter2,0,0
353_1-2,winter1,1,1
353_1-2,winter2,0,0
355_1-2,winter1,0,0
355_1-2,winter2,0,0
356_1-2,winter1,0,0
356_1-2,winter2,0,0
36_1-2,winter1,0,0
36_1-2,winter2,0,0
376_1-2,winter1,1,1
376_1-2,winter2,2,1
388_1-2,winter1,1,1
388_1-2,winter2,1,1
389_1-2,winter1,1,1
389_1-2,winter2,1,1
39_1-2,winter1,0,0
39_1-2,winter2,0,0
397_1-2,winter1,1,1
397_1-2,winter2,1,1
4_1-2,winter1,0,0
4_1-2,winter2,0,0
40_1-2,winter1,0,0
40_1-2,winter2,0,0
402_1-2,winter1,0,0
402_1-2,winter2,1,1
41_1-2,winter1,0,0
41_1-2,winter2,0,0
42_1-2,winter1,0,0
42_1-2,winter2,0,0
43_1-2,winter1,0,0
43_1-2,winter2,0,0
44_1-2,winter1,0,0
44_1-2,winter2,0,0
45_1-2,winter1,0,0
45_1-2,winter2,0,0
451_1-2,winter1,7,1
451_1-2,winter2,6,1
452_1-2,winter1,7,1
452_1-2,winter2,9,1
453_1-2,winter1,9,1
453_1-2,winter2,9,1
454_1-2,winter1,5,1
454_1-2,winter2,7,1
454_2-3,winter1,7,1
454_2-3,winter2,7,1
454_3-4,winter1,3,1
454_3-4,winter2,6,1
455_1-2,winter1,8,1
455_1-2,winter2,8,1
456_1-2,winter1,9,1
456_1-2,winter2,9,1
457_1-2,winter1,8,1
457_1-2,winter2,8,1
46_1-2,winter1,0,0
46_1-2,winter2,0,0
460_2-3,winter1,7,1
460_2-3,winter2,7,1
465_1-2,winter1,9,1
465_1-2,winter2,9,1
466_1-2,winter1,9,1
466_1-2,winter2,9,1
468_1-2,winter1,3,1
468_1-2,winter2,5,1
468_2-3,winter1,3,1
468_2-3,winter2,3,1
468_3-4,winter1,3,1
468_3-4,winter2,3,1
468_4-5,winter1,3,1
468_4-5,winter2,3,1
470_2-3,winter1,9,1
470_2-3,winter2,7,1
470_3-4,winter1,4,1
470_3-4,winter2,7,1
470_4-5,winter1,7,1
470_4-5,winter2,8,1
470_5-6,winter1,7,1
470_5-6,winter2,7,1
478_1-2,winter1,8,1
478_1-2,winter2,8,1
478_2-3,winter1,8,1
478_2-3,winter2,9,1
479_1-2,winter1,9,1
479_1-2,winter2,7,1
48_1-2,winter1,0,0
48_1-2,winter2,0,0
49_1-2,winter1,0,0
49_1-2,winter2,0,0
5_1-2,winter1,0,0
5_1-2,winter2,0,0
50_1-2,winter1,0,0
50_1-2,winter2,0,0
51_1-2,winter1,0,0
51_1-2,winter2,0,0
52_1-2,winter1,0,0
52_1-2,winter2,0,0
53_1-2,winter1,0,0
53_1-2,winter2,0,0
531_1-2,winter1,0,0
531_1-2,winter2,0,0
532_1-2,winter1,0,0
532_1-2,winter2,0,0
533_1-2,winter1,0,0
533_1-2,winter2,0,0
534_1-2,winter1,0,0
534_1-2,winter2,0,0
535_1-2,winter1,0,0
535_1-2,winter2,0,0
539_1-2,winter1,0,0
539_1-2,winter2,0,0
54_1-2,winter1,0,0
54_1-2,winter2,0,0
540_1-2,winter1,0,0
540_1-2,winter2,0,0
542_1-2,winter1,0,0
542_1-2,winter2,0,0
544_1-2,winter1,0,0
544_1-2,winter2,0,0
547_1-2,winter1,0,0
547_1-2,winter2,0,0
548_1-2,winter1,0,0
548_1-2,winter2,0,0
549_1-2,winter1,0,0
549_1-2,winter2,0,0
55_1-2,winter1,0,0
55_1-2,winter2,0,0
550_1-2,winter1,0,0
550_1-2,winter2,0,0
553_1-2,winter1,0,0
553_1-2,winter2,0,0
555_1-2,winter1,0,0
555_1-2,winter2,0,0
556_1-2,winter1,0,0
556_1-2,winter2,0,0
558_1-2,winter1,0,0
558_1-2,winter2,0,0
56_1-2,winter1,0,0
56_1-2,winter2,0,0
560_1-2,winter1,0,0
560_1-2,winter2,0,0
561_1-2,winter1,0,0
561_1-2,winter2,0,0
562_1-2,winter1,0,0
562_1-2,winter2,0,0
564_1-2,winter1,0,0
564_1-2,winter2,0,0
565_1-2,winter1,0,0
565_1-2,winter2,0,0
573_1-2,winter1,0,0
573_1-2,winter2,0,0
575_1-2,winter1,0,0
575_1-2,winter2,0,0
578_1-2,winter1,0,0
578_1-2,winter2,0,0
